grid_id,name,wikipedia_url,email_address,established
grid.5012.6,Maastricht University,http://en.wikipedia.org/wiki/Maastricht_University,,1976
grid.5018.c,Hungarian Academy of Sciences (MTA),http://en.wikipedia.org/wiki/Hungarian_Academy_of_Sciences,"",1825
grid.5037.1,Royal Institute of Technology,http://en.wikipedia.org/wiki/Royal_Institute_of_Technology,,1827
grid.5072.0,Royal Marsden NHS Foundation Trust,http://en.wikipedia.org/wiki/The_Royal_Marsden_NHS_Foundation_Trust,"",1851
grid.5089.4,Robotiker,"",,1985
grid.5090.c,Robosoft (France),"",,
grid.5098.4,University of National and World Economy,http://en.wikipedia.org/wiki/University_of_National_and_World_Economy,"",1920
grid.5100.4,University of Bucharest,http://en.wikipedia.org/wiki/University_of_Bucharest,,1864
grid.5110.5,University of Graz,http://en.wikipedia.org/wiki/University_of_Graz,,1585
grid.5115.0,Anglia Ruskin University,http://en.wikipedia.org/wiki/Anglia_Ruskin_University,,1992
grid.5117.2,Aalborg University,http://en.wikipedia.org/wiki/Aalborg_University,,1974
grid.5120.6,Transylvania University of Brașov,http://en.wikipedia.org/wiki/Transilvania_University_of_Bra%C8%99ov,,1948
grid.5132.5,Leiden University,http://en.wikipedia.org/wiki/Leiden_University,,1575
grid.5133.4,University of Trieste,http://en.wikipedia.org/wiki/University_of_Trieste,,1924
grid.5146.6,Central European University,http://en.wikipedia.org/wiki/Central_European_University,,1991
grid.5155.4,University of Kassel,http://en.wikipedia.org/wiki/University_of_Kassel,,1970
grid.5162.0,Ecofys (Netherlands),"",,
grid.5164.6,Clausthal University of Technology,http://en.wikipedia.org/wiki/Clausthal_University_of_Technology,,1775
grid.5169.b,Garrad Hassan and Partners,"",,
grid.5170.3,Technical University of Denmark,http://en.wikipedia.org/wiki/Technical_University_of_Denmark,,1829
grid.5173.0,University of Natural Resources and Life Sciences,"http://en.wikipedia.org/wiki/University_of_Natural_Resources_and_Life_Sciences,_Vienna","",1872
grid.5196.b,"National Agency For New Technologies, Energy and Sustainable Economic Development",https://en.wikipedia.org/wiki/ENEA_(Italy),,1982
grid.5214.2,Glasgow Caledonian University,http://en.wikipedia.org/wiki/Glasgow_Caledonian_University,,1993
grid.5216.0,National and Kapodistrian University of Athens,http://en.wikipedia.org/wiki/National_and_Kapodistrian_University_of_Athens,"",1837
grid.5239.d,University of Valladolid,http://en.wikipedia.org/wiki/University_of_Valladolid,,1241
grid.5252.0,Ludwig Maximilian University of Munich,http://en.wikipedia.org/wiki/Ludwig_Maximilian_University_of_Munich,,1472
grid.5253.1,University Hospital Heidelberg,http://en.wikipedia.org/wiki/University_Hospital_Heidelberg,,1388
grid.5254.6,University of Copenhagen,http://en.wikipedia.org/wiki/University_of_Copenhagen,,1479
grid.5259.b,Mykolas Romeris University,http://en.wikipedia.org/wiki/Mykolas_Romeris_University,"",2004
grid.5268.9,University of Alicante,http://en.wikipedia.org/wiki/University_of_Alicante,"",1979
grid.5284.b,University of Antwerp,http://en.wikipedia.org/wiki/University_of_Antwerp,,2003
grid.5288.7,Oregon Health & Science University,https://en.wikipedia.org/wiki/Oregon_Health_%26_Science_University,,1974
grid.5290.e,Waseda University,http://en.wikipedia.org/wiki/Waseda_University,,1882
grid.5292.c,Delft University of Technology,http://en.wikipedia.org/wiki/Delft_University_of_Technology,,1842
grid.5319.e,University of Girona,http://en.wikipedia.org/wiki/University_of_Girona,,1991
grid.5326.2,National Research Council (CNR),http://en.wikipedia.org/wiki/National_Research_Council_%28Italy%29,"",1923
grid.5328.c,French Institute for Research in Computer Science and Automation,http://en.wikipedia.org/wiki/French_Institute_for_Research_in_Computer_Science_and_Automation,"",1967
grid.5329.d,Vienna University of Technology,http://en.wikipedia.org/wiki/Vienna_University_of_Technology,"",1815
grid.5330.5,University of Erlangen-Nuremberg,http://en.wikipedia.org/wiki/University_of_Erlangen-Nuremberg,,1742
grid.5333.6,École Polytechnique Fédérale de Lausanne,http://en.wikipedia.org/wiki/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne,,1853
grid.5334.1,Sabancı University,http://en.wikipedia.org/wiki/Sabanc%C4%B1_University,"",1994
grid.5335.0,University of Cambridge,http://en.wikipedia.org/wiki/University_of_Cambridge,"",1209
grid.5336.3,Forschungsverbund Berlin,"",,1992
grid.5337.2,University of Bristol,http://en.wikipedia.org/wiki/University_of_Bristol,"",1909
grid.5338.d,University of Valencia,http://en.wikipedia.org/wiki/University_of_Valencia,,1499
grid.5340.2,Alcatel Thales Iii V Lab,"",,2004
grid.5342.0,Ghent University,http://en.wikipedia.org/wiki/Ghent_University,,1817
grid.5361.1,Innsbruck Medical University,https://en.wikipedia.org/wiki/Innsbruck_Medical_University,,2004
grid.5368.8,Joint Research Centre (JRC),http://en.wikipedia.org/wiki/Joint_Research_Centre,"",1961
grid.5371.0,Chalmers University of Technology,http://en.wikipedia.org/wiki/Chalmers_University_of_Technology,,1829
grid.5373.2,Aalto University,http://en.wikipedia.org/wiki/Aalto_University,,2010
grid.5374.5,Nicolaus Copernicus University,http://en.wikipedia.org/wiki/Nicolaus_Copernicus_University_in_Toru%C5%84,"",1945
grid.5379.8,University of Manchester,http://en.wikipedia.org/wiki/University_of_Manchester,"",1824
grid.5380.e,University of Concepción,http://en.wikipedia.org/wiki/University_of_Concepci%C3%B3n,"",1919
grid.5386.8,Cornell University,http://en.wikipedia.org/wiki/Cornell_University,,1865
grid.5388.6,University of Savoy,http://en.wikipedia.org/wiki/University_of_Savoy,,1960
grid.5390.f,University of Udine,http://en.wikipedia.org/wiki/University_of_Udine,"",1978
grid.5395.a,University of Pisa,http://en.wikipedia.org/wiki/University_of_Pisa,"",1343
grid.5398.7,European Synchrotron Radiation Facility,https://en.wikipedia.org/wiki/European_Synchrotron_Radiation_Facility,,1988
grid.5399.6,Aix-Marseille University,http://en.wikipedia.org/wiki/Aix-Marseille_University,"",1409
grid.5403.2,STMicroelectronics (Italy),https://en.wikipedia.org/wiki/STMicroelectronics,,1957
grid.5406.7,Siemens (Germany),http://en.wikipedia.org/wiki/Siemens,,1847
grid.5433.1,Daimler (Germany),http://en.wikipedia.org/wiki/Daimler_AG,,1998
grid.5465.2,University Hospital of South Manchester NHS Foundation Trust,http://en.wikipedia.org/wiki/University_Hospital_of_South_Manchester_NHS_Foundation_Trust,"",1902
grid.5468.f,Institute of Accelerating Systems and Applications,"",,1994
grid.5474.2,Wise & Munro Learning Research,"",,
grid.5475.3,University of Surrey,http://en.wikipedia.org/wiki/University_of_Surrey,"",1966
grid.5477.1,Utrecht University,http://en.wikipedia.org/wiki/Utrecht_University,,1636
grid.5491.9,University of Southampton,http://en.wikipedia.org/wiki/University_of_Southampton,"",1952
grid.5507.7,New Bulgarian University,http://en.wikipedia.org/wiki/New_Bulgarian_University,,1991
