country_name,country_iso,region_iso,region_name,country_centroid,region_centroid
Republic of Congo,COG,AFR,Africa,"{""type"":""Point"",""coordinates"":[15.2183365585241,-0.838879401433715]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Republic of Serbia,SRB,EUR,Europe,"{""type"":""Point"",""coordinates"":[20.7904027791617,44.2213755677257]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Romania,ROU,EUR,Europe,"{""type"":""Point"",""coordinates"":[24.972941654963,45.85346442291]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Russia,RUS,EUR,Europe,"{""type"":""Point"",""coordinates"":[96.6938360980423,61.9845275647123]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Rwanda,RWA,AFR,Africa,"{""type"":""Point"",""coordinates"":[29.9190607047069,-1.99275052758312]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Saint Barthelemy,BLM,,,"{""type"":""Point"",""coordinates"":[-62.8326196246965,17.9055845223429]}",
Saint Helena,SHN,,,"{""type"":""Point"",""coordinates"":[-10.138417833025,-24.9113502374247]}",
Saint Kitts and Nevis,KNA,AMR,America,"{""type"":""Point"",""coordinates"":[-62.6985454461019,17.2710422528094]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Saint Lucia,LCA,AMR,America,"{""type"":""Point"",""coordinates"":[-60.9703165310753,13.9026705471684]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Saint Martin,MAF,,,"{""type"":""Point"",""coordinates"":[-63.0550714919228,18.077620298493]}",
Saint Pierre and Miquelon,SPM,,,"{""type"":""Point"",""coordinates"":[-56.3078135424278,46.9304579498999]}",
Saint Vincent and the Grenadines,VCT,AMR,America,"{""type"":""Point"",""coordinates"":[-61.2033532661782,13.2162159199067]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Samoa,WSM,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[-172.161249298755,-13.7545956538498]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
San Marino,SMR,EUR,Europe,"{""type"":""Point"",""coordinates"":[12.4422225588601,43.9364661949215]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Sao Tome and Principe,STP,AFR,Africa,"{""type"":""Point"",""coordinates"":[6.72644287440088,0.444260038055774]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Saudi Arabia,SAU,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[44.5368631978369,24.1223274130524]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Senegal,SEN,AFR,Africa,"{""type"":""Point"",""coordinates"":[-14.471307602032,14.3677890193532]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Seychelles,SYC,AFR,Africa,"{""type"":""Point"",""coordinates"":[51.881314192879,-6.59097547550373]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Siachen Glacier,KAS,,,"{""type"":""Point"",""coordinates"":[77.1799527986063,35.3910819814609]}",
Sierra Leone,SLE,AFR,Africa,"{""type"":""Point"",""coordinates"":[-11.7950155296506,8.5630858504529]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Singapore,SGP,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[103.813467658136,1.35892102049777]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Sint Maarten,SXM,,,"{""type"":""Point"",""coordinates"":[-63.0701310269265,18.0406293460658]}",
Slovakia,SVK,EUR,Europe,"{""type"":""Point"",""coordinates"":[19.48038297124,48.7049352971006]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Slovenia,SVN,EUR,Europe,"{""type"":""Point"",""coordinates"":[14.8080898134385,46.1161112159895]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Solomon Islands,SLB,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[159.638094404126,-8.90958311818952]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Somalia,SOM,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[45.7061312198953,4.74882456391808]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Somaliland,SOL,,,"{""type"":""Point"",""coordinates"":[46.254815996414,9.73101980807547]}",
South Africa,ZAF,AFR,Africa,"{""type"":""Point"",""coordinates"":[25.0873665473593,-29.0010306000679]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
South Georgia and South Sandwich Islands,SGS,,,"{""type"":""Point"",""coordinates"":[-35.8985756024402,-54.6767207930734]}",
South Korea,KOR,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[127.819092585196,36.3733532473279]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
South Sudan,SDS,AFR,Africa,"{""type"":""Point"",""coordinates"":[30.3011218236687,7.28352807310888]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Spain,ESP,EUR,Europe,"{""type"":""Point"",""coordinates"":[-3.65263722449772,40.2272391881848]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Sri Lanka,LKA,SEAR,South-East Asia,"{""type"":""Point"",""coordinates"":[80.7031629581953,7.61591465946464]}","{""type"":""Point"",""coordinates"":[94.3414464235754,15.8732684424615]}"
Sudan,SDN,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[29.9396227232092,15.9868898748961]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Suriname,SUR,AMR,America,"{""type"":""Point"",""coordinates"":[-55.9110712950676,4.13124517981443]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Swaziland,SWZ,AFR,Africa,"{""type"":""Point"",""coordinates"":[31.4800242934059,-26.5619241052309]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Sweden,SWE,EUR,Europe,"{""type"":""Point"",""coordinates"":[16.754466662217,62.7770998973643]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Switzerland,CHE,EUR,Europe,"{""type"":""Point"",""coordinates"":[8.21538184986232,46.7990250304279]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Syria,SYR,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[38.5045595449927,35.0230064148272]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Taiwan,TWN,,,"{""type"":""Point"",""coordinates"":[120.949875452685,23.7529872099339]}",
Tajikistan,TJK,EUR,Europe,"{""type"":""Point"",""coordinates"":[71.0158345154895,38.5298850014689]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Thailand,THA,SEAR,South-East Asia,"{""type"":""Point"",""coordinates"":[101.003333198084,15.1144002590659]}","{""type"":""Point"",""coordinates"":[94.3414464235754,15.8732684424615]}"
The Bahamas,BHS,AMR,America,"{""type"":""Point"",""coordinates"":[-76.5512503693202,24.2228106829168]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Togo,TGO,AFR,Africa,"{""type"":""Point"",""coordinates"":[0.96226972014936,8.52678748281284]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Tonga,TON,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[-174.841723741364,-19.9690056479791]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Trinidad and Tobago,TTO,AMR,America,"{""type"":""Point"",""coordinates"":[-61.2584499455628,10.468830195049]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Tunisia,TUN,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[9.5546279269063,34.1194057727663]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Turkey,TUR,EUR,Europe,"{""type"":""Point"",""coordinates"":[35.167239859383,39.0610805928763]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Turkmenistan,TKM,EUR,Europe,"{""type"":""Point"",""coordinates"":[59.3759640034859,39.1159319906785]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Turks and Caicos Islands,TCA,,,"{""type"":""Point"",""coordinates"":[-71.8733095370485,21.7800453642469]}",
Uganda,UGA,AFR,Africa,"{""type"":""Point"",""coordinates"":[32.36704141681,1.27568553880559]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Ukraine,UKR,EUR,Europe,"{""type"":""Point"",""coordinates"":[31.3857478425306,48.9973689921627]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
United Arab Emirates,ARE,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[54.3002126548035,23.9065192364206]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
